iter	RMSE
0	9125.005338
1	8497.054271
2	7935.757516
3	7446.866306
4	7024.221576
5	6639.415724
6	6306.682906
7	6009.787356
8	5742.523805
9	5511.209935
10	5301.07571
11	5132.1839
12	4970.972471
13	4831.116869
14	4695.390963
15	4589.347243
16	4485.818172
17	4387.64811
18	4305.98704
19	4228.856141
20	4166.039829
21	4102.443352
22	4050.470697
23	4001.923292
24	3952.158946
25	3906.034301
26	3873.618034
27	3840.453579
28	3800.483562
29	3775.801276
30	3735.99842
31	3709.420565
32	3688.638299
33	3656.98616
34	3635.555733
35	3609.987458
36	3594.127636
37	3573.172529
38	3546.535218
39	3526.167653
40	3512.898819
41	3489.667944
42	3472.611582
43	3453.707865
44	3436.512872
45	3425.568767
46	3410.941774
47	3398.428672
48	3381.96432
49	3360.072545
50	3343.987034
51	3327.026468
52	3316.873574
53	3301.588023
54	3290.257566
55	3281.022357
56	3268.712049
57	3263.236988
58	3252.707751
59	3243.177185
60	3233.861871
61	3224.407054
62	3216.92964
63	3213.320412
64	3199.025095
65	3187.802012
66	3181.780623
67	3170.25956
68	3153.531245
69	3144.510316
70	3131.893949
71	3123.713787
72	3113.02594
73	3102.53319
74	3095.86797
75	3081.396793
76	3067.559977
77	3059.265028
78	3049.024914
79	3041.334842
80	3035.097106
81	3028.787673
82	3019.780486
83	3011.318718
84	3003.878886
85	2995.228678
86	2988.178244
87	2978.161393
88	2975.073013
89	2970.614725
90	2961.825919
91	2956.225589
92	2949.324306
93	2939.144812
94	2934.392843
95	2926.910729
96	2917.041578
97	2908.466307
98	2904.143841
99	2897.528053
100	2891.26737
101	2885.782617
102	2877.720988
103	2869.681357
104	2860.992852
105	2850.898421
106	2844.311251
107	2837.922126
108	2829.261414
109	2825.49522
110	2822.028763
111	2812.707628
112	2810.881789
113	2804.572308
114	2799.3414
115	2792.683464
116	2788.278239
117	2785.196701
118	2781.955238
119	2775.796223
120	2773.387027
121	2769.637357
122	2760.836818
123	2754.504332
124	2747.656507
125	2738.156325
126	2730.761022
127	2728.52302
128	2723.823323
129	2719.227245
130	2716.061393
131	2710.403298
132	2707.844452
133	2706.096536
134	2703.712578
135	2697.272144
136	2692.435651
137	2683.991964
138	2679.558262
139	2674.277833
140	2669.925622
141	2665.18732
142	2660.866663
143	2652.255967
144	2647.361231
145	2643.894422
146	2639.085524
147	2633.986138
148	2627.581441
149	2623.542062
150	2619.164138
151	2614.644578
152	2607.634575
153	2604.629424
154	2599.114399
155	2596.593874
156	2592.920562
157	2587.453058
158	2583.401235
159	2581.766433
160	2579.38858
161	2574.033856
162	2572.893259
163	2571.039199
164	2568.546816
165	2565.289115
166	2562.235426
167	2560.823011
168	2559.024052
169	2556.017874
170	2551.202004
171	2546.759236
172	2541.621339
173	2538.265304
174	2533.663166
175	2529.301992
176	2525.194257
177	2523.659098
178	2519.87514
179	2516.571704
180	2511.033018
181	2510.045239
182	2507.35145
183	2506.173779
184	2501.320797
185	2498.243622
186	2491.966445
187	2490.323219
188	2488.541889
189	2486.6461
190	2482.418431
191	2481.349037
192	2480.534616
193	2476.241092
194	2472.299571
195	2469.892682
196	2466.512643
197	2463.033122
198	2458.595414
199	2455.511419
200	2451.200887
201	2448.013928
202	2444.946138
203	2442.773857
204	2441.178702
205	2439.19106
206	2435.092536
207	2432.647006
208	2427.480693
209	2424.556306
210	2419.62239
211	2417.88397
212	2415.326455
213	2413.132735
214	2410.121704
215	2408.372272
216	2407.687195
217	2405.276066
218	2402.669848
219	2398.476858
220	2397.869902
221	2393.078776
222	2390.330686
223	2389.470106
224	2386.912663
225	2384.663733
226	2381.870513
227	2379.431313
228	2378.627606
229	2373.938942
230	2371.401979
231	2368.927804
232	2366.813401
233	2365.275483
234	2362.675125
235	2360.557948
236	2359.019435
237	2357.033382
238	2355.046419
239	2353.264875
240	2350.012978
241	2348.390068
242	2344.781435
243	2342.901359
244	2341.0847
245	2337.326573
246	2336.099712
247	2334.175893
248	2331.411724
249	2328.860416
250	2327.027209
251	2325.655608
252	2322.531592
253	2320.351406
254	2318.510459
255	2318.0527
256	2316.270517
257	2315.713026
258	2314.096184
259	2311.53918
260	2310.362786
261	2308.347151
262	2307.311319
263	2304.5306
264	2302.855326
265	2301.410144
266	2299.152058
267	2297.002893
268	2296.463702
269	2294.734311
270	2292.670261
271	2290.778827
272	2287.787655
273	2285.221949
274	2283.840404
275	2280.576096
276	2277.762239
277	2276.580417
278	2274.646574
279	2273.391387
280	2271.572853
281	2271.13821
282	2268.889828
283	2266.380225
284	2265.082696
285	2261.332026
286	2258.772003
287	2257.857682
288	2256.610502
289	2254.919261
290	2252.285163
291	2251.213973
292	2248.645376
293	2247.160895
294	2245.439449
295	2243.477422
296	2241.038512
297	2240.426201
298	2239.549445
299	2238.127192
300	2237.53141
301	2237.241709
302	2234.904078
303	2233.568585
304	2231.837597
305	2231.425528
306	2229.82088
307	2227.666179
308	2226.912551
309	2225.106441
310	2223.792829
311	2222.25619
312	2220.791514
313	2219.534777
314	2217.049964
315	2215.063651
316	2213.576932
317	2211.91806
318	2210.200441
319	2207.722899
320	2205.848211
321	2203.921597
322	2202.738301
323	2201.072918
324	2200.057062
325	2199.057365
326	2198.154832
327	2196.853927
328	2195.878374
329	2193.718249
330	2192.948805
331	2192.068201
332	2190.05904
333	2188.907826
334	2187.190846
335	2184.5423
336	2183.51096
337	2182.017437
338	2180.812693
339	2179.178532
340	2178.537984
341	2178.250428
342	2177.184444
343	2176.121903
344	2174.831108
345	2172.259089
346	2170.333676
347	2168.676869
348	2167.42193
349	2165.693921
350	2163.829557
351	2162.606262
352	2160.264054
353	2158.095473
354	2157.305952
355	2156.019402
356	2154.6646
357	2153.674173
358	2152.687879
359	2150.925594
360	2149.852105
361	2148.966295
362	2147.09112
363	2145.347121
364	2143.56949
365	2142.367129
366	2141.320768
367	2139.773339
368	2138.846337
369	2137.787087
370	2136.324689
371	2134.413793
372	2133.454353
373	2133.192986
374	2132.27177
375	2131.264029
376	2130.289081
377	2129.334089
378	2127.938628
379	2127.081872
380	2125.893501
381	2125.307167
382	2123.231829
383	2121.884155
384	2121.163499
385	2119.316093
386	2117.329234
387	2116.416187
388	2114.521331
389	2113.170171
390	2111.392493
391	2109.519682
392	2108.719409
393	2107.124611
394	2106.053467
395	2104.568503
396	2103.656319
397	2102.361441
398	2101.566888
399	2099.850181
400	2099.317156
401	2098.234835
402	2096.990607
403	2096.755452
404	2095.700704
405	2095.395239
406	2093.350259
407	2092.120682
408	2090.875497
409	2089.763412
410	2088.213336
411	2087.919695
412	2086.674873
413	2086.546993
414	2085.285716
415	2084.707099
416	2083.628388
417	2082.48804
418	2081.058657
419	2079.987416
420	2079.161854
421	2077.930794
422	2077.017088
423	2076.721883
424	2075.742967
425	2074.848774
426	2073.812675
427	2072.225601
428	2071.130326
429	2070.222502
430	2069.450416
431	2068.571041
432	2066.882237
433	2065.420889
434	2064.658087
435	2064.107914
436	2062.962589
437	2062.440669
438	2061.530333
439	2060.748151
440	2059.859094
441	2059.458247
442	2057.928203
443	2057.1866
444	2055.583198
445	2054.71251
446	2053.791609
447	2052.995867
448	2051.900957
449	2051.054834
450	2049.718786
451	2048.298077
452	2047.343693
453	2046.387501
