iter	Passed	Remaining
0	18	27847
1	40	30139
2	66	33243
3	89	33638
4	120	36068
5	147	36791
6	173	37009
7	200	37350
8	227	37655
9	240	35770
10	258	34964
11	282	34977
12	311	35676
13	333	35372
14	355	35202
15	374	34741
16	396	34605
17	421	34695
18	440	34351
19	456	33765
20	474	33450
21	497	33442
22	521	33486
23	544	33458
24	572	33755
25	596	33817
26	619	33772
27	638	33548
28	654	33220
29	667	32693
30	690	32740
31	714	32761
32	736	32752
33	759	32746
34	780	32679
35	801	32582
36	819	32398
37	841	32381
38	858	32163
39	873	31876
40	890	31691
41	910	31620
42	928	31465
43	946	31314
44	967	31279
45	985	31140
46	1004	31063
47	1024	30979
48	1042	30858
49	1058	30688
50	1073	30508
51	1089	30344
52	1109	30294
53	1129	30232
54	1144	30066
55	1165	30053
56	1191	30153
57	1215	30232
58	1232	30114
59	1259	30219
60	1278	30168
61	1296	30062
62	1312	29946
63	1333	29912
64	1350	29806
65	1370	29774
66	1392	29773
67	1412	29754
68	1445	29981
69	1463	29902
70	1484	29875
71	1501	29775
72	1526	29846
73	1557	30015
74	1580	30032
75	1601	29999
76	1620	29945
77	1636	29842
78	1655	29781
79	1671	29666
80	1690	29612
81	1704	29469
82	1721	29396
83	1742	29375
84	1763	29358
85	1784	29342
86	1801	29263
87	1820	29215
88	1833	29075
89	1853	29030
90	1868	28937
91	1885	28857
92	1900	28747
93	1913	28627
94	1933	28591
95	1955	28602
96	1974	28554
97	1998	28587
98	2034	28788
99	2064	28900
100	2088	28928
101	2104	28845
102	2127	28861
103	2161	29020
104	2192	29129
105	2228	29307
106	2262	29460
107	2290	29517
108	2313	29518
109	2330	29448
110	2365	29598
111	2396	29704
112	2421	29726
113	2455	29854
114	2481	29879
115	2505	29898
116	2526	29861
117	2551	29880
118	2573	29870
119	2596	29860
120	2612	29768
121	2630	29708
122	2661	29799
123	2689	29846
124	2721	29938
125	2746	29945
126	2779	30051
127	2811	30137
128	2842	30210
129	2878	30335
130	2917	30489
131	2948	30555
132	2969	30518
133	3003	30619
134	3021	30550
135	3054	30632
136	3085	30694
137	3109	30693
138	3133	30682
139	3160	30702
140	3184	30696
141	3203	30636
142	3236	30714
143	3273	30824
144	3296	30808
145	3322	30814
146	3357	30902
147	3392	30987
148	3416	30980
149	3457	31121
150	3486	31145
151	3528	31294
152	3553	31281
153	3576	31256
154	3600	31247
155	3629	31270
156	3657	31282
157	3685	31307
158	3724	31410
159	3753	31432
160	3785	31479
161	3820	31554
162	3842	31516
163	3865	31492
164	3894	31508
165	3926	31553
166	3970	31695
167	4000	31718
168	4032	31758
169	4054	31717
170	4081	31722
171	4112	31753
172	4155	31875
173	4188	31921
174	4224	31985
175	4248	31960
176	4282	32010
177	4305	31973
178	4324	31916
179	4343	31853
180	4367	31827
181	4391	31800
182	4415	31775
183	4439	31749
184	4475	31813
185	4497	31770
186	4517	31719
187	4548	31740
188	4578	31755
189	4611	31794
190	4648	31855
191	4682	31898
192	4709	31894
193	4741	31919
194	4766	31895
195	4794	31901
196	4840	32015
197	4877	32072
198	4909	32096
199	4948	32163
200	5004	32340
201	5031	32332
202	5061	32341
203	5095	32372
204	5123	32367
205	5165	32449
206	5197	32464
207	5243	32571
208	5286	32655
209	5326	32717
210	5364	32772
211	5395	32778
212	5426	32787
213	5457	32794
214	5497	32857
215	5533	32895
216	5569	32930
217	5604	32957
218	5645	33023
219	5697	33149
220	5742	33232
221	5793	33351
222	5863	33579
223	6005	34212
224	6049	34282
225	6100	34391
226	6173	34621
227	6199	34584
228	6280	34858
229	6294	34756
230	6354	34909
231	6417	35072
232	6439	35017
233	6466	34987
234	6552	35271
235	6570	35192
236	6582	35081
237	6594	34968
238	6695	35325
239	6720	35283
240	6738	35201
241	6757	35128
242	6812	35240
243	6881	35425
244	6987	35793
245	7009	35729
246	7106	36048
247	7119	35939
248	7134	35844
249	7222	36110
250	7239	36022
251	7264	35974
252	7286	35913
253	7314	35882
254	7354	35906
255	7389	35906
256	7420	35887
257	7450	35865
258	7479	35839
259	7505	35797
260	7542	35806
261	7569	35769
262	7589	35695
263	7622	35688
264	7665	35722
265	7710	35768
266	7739	35740
267	7774	35738
268	7791	35656
269	7824	35647
270	7865	35671
271	7911	35717
272	7951	35736
273	7987	35738
274	8014	35698
275	8035	35634
276	8062	35596
277	8085	35543
278	8133	35593
279	8176	35625
280	8205	35595
281	8237	35581
282	8267	35551
283	8304	35558
284	8335	35537
285	8380	35572
286	8416	35570
287	8448	35553
288	8481	35538
289	8514	35526
290	8538	35476
291	8574	35472
292	8602	35437
293	8633	35413
294	8670	35418
295	8691	35352
296	8722	35328
297	8754	35311
298	8796	35333
299	8853	35412
300	8892	35422
301	8924	35401
302	8988	35507
303	9145	35980
304	9161	35894
305	9268	36165
306	9303	36154
307	9339	36144
308	9452	36433
309	9485	36411
310	9562	36558
311	9595	36538
312	9623	36495
313	9774	36920
314	9889	37204
315	9930	37209
316	10046	37491
317	10149	37726
318	10171	37657
319	10187	37566
320	10277	37747
321	10354	37881
322	10369	37785
323	10385	37696
324	10479	37888
325	10507	37840
326	10528	37767
327	10577	37795
328	10617	37791
329	10653	37771
330	10690	37755
331	10720	37714
332	10743	37652
333	10774	37613
334	10811	37599
335	10854	37602
336	10894	37595
337	10929	37573
338	10956	37522
339	10990	37496
340	11028	37485
341	11063	37460
342	11101	37448
343	11137	37427
344	11166	37383
345	11190	37323
346	11224	37295
347	11251	37247
348	11277	37192
349	11315	37180
350	11339	37121
351	11367	37073
352	11403	37054
353	11440	37036
354	11466	36983
355	11503	36964
356	11542	36954
357	11578	36935
358	11605	36885
359	11634	36843
360	11667	36811
361	11700	36783
362	11732	36748
363	11756	36691
364	11782	36640
365	11807	36582
366	11827	36514
367	11852	36459
368	11879	36410
369	11906	36362
370	11928	36300
371	11952	36243
372	11973	36178
373	11995	36116
374	12017	36052
375	12036	35982
376	12056	35915
377	12078	35851
378	12096	35780
379	12121	35725
380	12146	35675
381	12171	35622
382	12195	35568
383	12220	35516
384	12243	35458
385	12260	35383
386	12287	35338
387	12319	35307
388	12347	35264
389	12376	35225
390	12405	35186
391	12433	35143
392	12461	35100
393	12480	35032
394	12521	35029
395	12552	34994
396	12573	34933
397	12606	34905
398	12637	34872
399	12661	34819
400	12689	34776
401	12721	34747
402	12741	34683
403	12765	34631
404	12810	34635
405	12842	34604
406	12871	34565
407	12896	34517
408	12928	34487
409	12976	34497
410	13012	34479
411	13041	34440
412	13061	34376
413	13090	34338
414	13122	34308
415	13151	34268
416	13174	34216
417	13208	34189
418	13238	34155
419	13270	34124
420	13307	34106
421	13340	34077
422	13380	34067
423	13416	34047
424	13455	34034
425	13491	34012
426	13533	34008
427	13572	33995
428	13625	34015
429	13666	34006
430	13706	33996
431	13744	33979
432	13771	33935
433	13806	33910
434	13847	33903
435	13883	33880
436	13918	33855
437	13951	33827
438	13986	33802
439	14012	33757
440	14053	33747
441	14095	33739
442	14127	33708
443	14162	33684
444	14199	33664
445	14232	33635
446	14276	33632
447	14321	33630
448	14366	33627
449	14398	33597
450	14432	33568
451	14497	33614
452	14554	33639
453	14706	33882
454	14726	33821
455	14737	33742
456	14799	33777
457	14895	33888
458	14912	33822
459	14932	33759
460	14985	33774
461	15179	34103
462	15261	34182
463	15286	34130
464	15392	34261
465	15453	34290
466	15548	34394
467	15571	34336
468	15593	34278
469	15613	34217
470	15641	34173
471	15771	34350
472	15785	34273
473	15803	34206
474	15896	34302
475	15929	34269
476	15962	34233
477	16001	34212
478	16037	34183
479	16069	34147
480	16105	34119
481	16140	34088
482	16175	34058
483	16207	34022
484	16247	34003
485	16289	33987
486	16323	33954
487	16356	33918
488	16377	33859
489	16405	33815
490	16436	33775
491	16467	33738
492	16503	33709
493	16535	33673
494	16561	33624
495	16589	33580
496	16609	33520
